__run_id,__done,ocr_library,document_type,dataset,sample_size,language,energy,runtime,memory,run_id,cpu_usage_percent
run_15_repetition_15,DONE,tesseract,Old_books_2noise,Noisy_Dataset,20,eng,423.0711212158203,18.20896,2439671808,run_15_repetition_15,14.17138249739524
run_7_repetition_1,DONE,paddle,Book,Omni_Dataset,20,eng,3874.7206420898438,161.07814,6053408768,run_7_repetition_1,55.36143053030362
run_12_repetition_18,DONE,paddle,slides,Omni_Dataset,1,eng,270.5306091308594,14.212952,5052788736,run_12_repetition_18,38.52385015724457
run_11_repetition_29,DONE,paddle,notes,Omni_Dataset,20,eng,3961.365203857422,162.47232,6081544192,run_11_repetition_29,55.87686366192466
run_22_repetition_13,DONE,tesseract,Newspaper,Omni_Dataset,1,eng,89.60932922363281,4.203687,2399596544,run_22_repetition_13,15.195319450419882
run_20_repetition_23,DONE,tesseract,Book,Omni_Dataset,1,eng,22.720504760742188,1.2033231,2342227968,run_20_repetition_23,13.146354131400583
run_18_repetition_9,DONE,tesseract,Old_books_No_noise,Noisy_Dataset,1,eng,4.7931365966796875,0.40336245,2251440128,run_18_repetition_9,12.273429922759531
run_22_repetition_10,DONE,tesseract,Newspaper,Omni_Dataset,1,eng,90.69898986816406,4.2040277,2369724416,run_22_repetition_10,15.399905162013097
run_19_repetition_18,DONE,tesseract,Old_books_No_noise,Noisy_Dataset,20,eng,4.6692352294921875,0.40338528,2247188480,run_19_repetition_18,13.382846057415009
run_13_repetition_23,DONE,paddle,slides,Omni_Dataset,20,eng,3851.7214965820312,159.67308,5374464000,run_13_repetition_23,55.01079489054158
run_22_repetition_3,DONE,tesseract,Newspaper,Omni_Dataset,1,eng,89.91877746582031,4.2037354,2405064704,run_22_repetition_3,15.336774852612743
run_24_repetition_20,DONE,tesseract,notes,Omni_Dataset,1,eng,13.317062377929688,0.8031682,2317164544,run_24_repetition_20,12.819157054026922
run_27_repetition_25,DONE,tesseract,slides,Omni_Dataset,20,eng,218.36732482910156,10.006242,2447974400,run_27_repetition_25,11.659153942305307
run_26_repetition_12,DONE,tesseract,slides,Omni_Dataset,1,eng,13.178359985351562,0.8032658,2335789056,run_26_repetition_12,12.650844196478523
run_13_repetition_2,DONE,paddle,slides,Omni_Dataset,20,eng,3881.5965881347656,160.67467,5479735296,run_13_repetition_2,55.36719834741599
run_16_repetition_15,DONE,tesseract,Old_books_Arabic,Noisy_Dataset,1,ara,4.5674896240234375,0.4031925,2277138432,run_16_repetition_15,13.708324387669563
run_18_repetition_20,DONE,tesseract,Old_books_No_noise,Noisy_Dataset,1,eng,4.7598419189453125,0.40331715,2264006656,run_18_repetition_20,13.101156771183014
run_17_repetition_0,DONE,tesseract,Old_books_Arabic,Noisy_Dataset,20,ara,30.034042358398438,1.6039193,2328293376,run_17_repetition_0,9.420814287662504
run_3_repetition_27,DONE,paddle,Old_books_Arabic,Noisy_Dataset,20,ara,9190.002990722656,401.18774,9628319744,run_3_repetition_27,50.81836883906381
run_5_repetition_17,DONE,paddle,Old_books_No_noise,Noisy_Dataset,20,eng,25.282684326171875,5.811865,2307436544,run_5_repetition_17,2.214339560558719
run_15_repetition_20,DONE,tesseract,Old_books_2noise,Noisy_Dataset,20,eng,419.56109619140625,18.008696,2432475136,run_15_repetition_20,14.375524486536564
run_0_repetition_23,DONE,paddle,Old_books_2noise,Noisy_Dataset,1,eng,306.9252014160156,15.81317,4519329792,run_0_repetition_23,36.17954412213079
run_24_repetition_28,DONE,tesseract,notes,Omni_Dataset,1,eng,13.15472412109375,0.80314076,2340462592,run_24_repetition_28,12.335185085733732
run_12_repetition_23,DONE,paddle,slides,Omni_Dataset,1,eng,275.03131103515625,15.215333,5042339840,run_12_repetition_23,36.83602550988778
run_7_repetition_5,DONE,paddle,Book,Omni_Dataset,20,eng,3850.999252319336,159.87885,5969219584,run_7_repetition_5,55.40009600541714
run_17_repetition_6,DONE,tesseract,Old_books_Arabic,Noisy_Dataset,20,ara,28.99981689453125,1.6035049,2323410944,run_17_repetition_6,9.53505156636238
run_22_repetition_21,DONE,tesseract,Newspaper,Omni_Dataset,1,eng,90.60542297363281,4.204138,2395492352,run_22_repetition_21,15.328603830026545
run_9_repetition_6,DONE,paddle,Newspaper,Omni_Dataset,20,eng,18543.608123779297,779.7325,13589868544,run_9_repetition_6,41.491560154299485
run_9_repetition_28,TODO,paddle,Newspaper,Omni_Dataset,20,eng, , , ,run_9_repetition_28,41.310552917243285
run_3_repetition_23,DONE,paddle,Old_books_Arabic,Noisy_Dataset,20,ara,9776.237915039062,411.1861,9774551040,run_3_repetition_23,50.90257632629525
run_8_repetition_27,DONE,paddle,Newspaper,Omni_Dataset,1,eng,1118.235580444336,50.828236,6663860224,run_8_repetition_27,33.944887052173726
run_25_repetition_9,DONE,tesseract,notes,Omni_Dataset,20,eng,128.7501983642578,6.4052825,2446426112,run_25_repetition_9,9.661747376708425
run_20_repetition_14,DONE,tesseract,Book,Omni_Dataset,1,eng,22.621551513671875,1.2032374,2365919232,run_20_repetition_14,13.252956464886664
run_12_repetition_2,DONE,paddle,slides,Omni_Dataset,1,eng,274.1753387451172,14.212996,4976652288,run_12_repetition_2,39.35976694524288
run_17_repetition_27,DONE,tesseract,Old_books_Arabic,Noisy_Dataset,20,ara,30.162033081054688,1.6035738,2356109312,run_17_repetition_27,9.212360030412674
run_23_repetition_22,DONE,tesseract,Newspaper,Omni_Dataset,20,eng,3134.273880004883,148.44518,3263737856,run_23_repetition_22,13.655699807329365
run_22_repetition_9,DONE,tesseract,Newspaper,Omni_Dataset,1,eng,89.56103515625,4.204103,2402631680,run_22_repetition_9,15.263244062662125
run_5_repetition_26,DONE,paddle,Old_books_No_noise,Noisy_Dataset,20,eng,23.57562255859375,5.8130374,2311254016,run_5_repetition_26,1.4986235037926705
run_2_repetition_18,DONE,paddle,Old_books_Arabic,Noisy_Dataset,1,ara,540.6152496337891,24.817865,8423227392,run_2_repetition_18,46.49382435376682
run_12_repetition_15,DONE,paddle,slides,Omni_Dataset,1,eng,272.15171813964844,14.012606,5044015104,run_12_repetition_15,39.03676044257978
run_11_repetition_9,DONE,paddle,notes,Omni_Dataset,20,eng,3975.738510131836,163.07541,6181593088,run_11_repetition_9,55.779800942890354
run_23_repetition_13,DONE,tesseract,Newspaper,Omni_Dataset,20,eng,3108.2303619384766,148.04138,3219595264,run_23_repetition_13,13.592627829457872
run_0_repetition_10,DONE,paddle,Old_books_2noise,Noisy_Dataset,1,eng,307.7143096923828,17.617863,4512870400,run_0_repetition_10,34.0960082312425
run_4_repetition_24,DONE,paddle,Old_books_No_noise,Noisy_Dataset,1,eng,24.24017333984375,5.611832,2318938112,run_4_repetition_24,1.5591061701377231
